Stock,Code,Investor,Qty Held,Investor Count,P/E Ratio,PEG Ratio,EV/EBITDA,Earnings Yield,ROE,ROCE,EPS & EPS Growth,Revenue/Sales Growth,Profit After Tax (Net Income),Market Cap,Debt to Equity,Cash Conversion Cycle,Dividend Yield,Management Quality,Insider Ownership,Insider Pledging,Legal Issues,CEO/Founder Public Image,Industry Analysis,Macro Analysis,Free Cash Flow (FCF),Stock-Based Compensation (SBC),Short Interest,Analyst Consensus & Price Targets,Public shareholding (< 10-15%)
Nova Iron & Steel,NOVAIRNSTL,Vijay Kedia,"3,273,600",1,,,,,,,,,,,,,,,,,,,,,,,,,
Omaxe,OMAXE,Ajay Upadhyaya,"2,750,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
OnMobile Global,ONMOBILE,Ajay Upadhyaya,"1,850,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
PBM Polytex,PBMPOLY,Nemish S Shah,"69,189",1,,,,,,,,,,,,,,,,,,,,,,,,,
PCS Technology,PCS,Nemish S Shah,"375,125",1,,,,,,,,,,,,,,,,,,,,,,,,,
PS IT Infrastructure,PSITINFRA,Vijay Kedia,"635,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
PVV Infra,PVVINFRA,Nemish S Shah,"1,194,996",1,,,,,,,,,,,,,,,,,,,,,,,,,
Panjon,PANJON,Nemish S Shah,"273,596",1,,,,,,,,,,,,,,,,,,,,,,,,,
Pioneer Investcorp,PIONRINV,Nemish S Shah,"287,010",1,,,,,,,,,,,,,,,,,,,,,,,,,
Poona Dal & Oil,POONADAL,Nemish S Shah,"66,574",1,,,,,,,,,,,,,,,,,,,,,,,,,
Prakash Woollen,PWASML,Nemish S Shah,"200,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Pratham EPC Projects,PRATHAM,Ashish Kacholia,"226,245",1,,,,,,,,,,,,,,,,,,,,,,,,,
Precision Camshafts,PRECAM,Ajay Upadhyaya,"2,000,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Premier,PREMIER,Nemish S Shah,"566,798",1,,,,,,,,,,,,,,,,,,,,,,,,,
Quadrant Future Tek,QUADFUTURE,Ashish Kacholia,"764,584",1,,,,,,,,,,,,,,,,,,,,,,,,,
Qualitek Labs,16691851,Ashish Kacholia,"506,400",1,,,,,,,,,,,,,,,,,,,,,,,,,
RNFI Services,RNFI,Anil Kumar Goel,"706,690",1,,,,,,,,,,,,,,,,,,,,,,,,,
Radiowalla Network,RADIOWALLA,Ashish Kacholia,"548,405",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan Cylinders,RCCL,Nemish S Shah,"71,085",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rajdarshan Industries,ARENTERP,Nemish S Shah,"36,781",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rander Corporation,RANDER,Vijay Kedia,"438,740",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rap Corp,RAP,Nemish S Shah,"77,010",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rapicut Carbides,RAPICUT,Nemish S Shah,"131,202",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rasandik Engineering,RASANDIK,Nemish S Shah,"100,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rathi Bars,RATHIBAR,Nemish S Shah,"227,211",1,,,,,,,,,,,,,,,,,,,,,,,,,
Raunaq EPC Intl,RAUNAQEPC,Nemish S Shah,"62,074",1,,,,,,,,,,,,,,,,,,,,,,,,,
Regency Fincorp,REGENCY,Anil Kumar Goel,"2,037,763",1,,,,,,,,,,,,,,,,,,,,,,,,,
Reliable Ventures,RELIABVEN,Nemish S Shah,"200,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Riba Textiles,RIBATEX,Nemish S Shah,"113,234",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rishi Laser,RISHILASE,Nemish S Shah,"459,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Rishi Techtex,RISHIPACK,Nemish S Shah,"368,565",1,,,,,,,,,,,,,,,,,,,,,,,,,
Roopa Industries,ROOPAIND,Nemish S Shah,"169,362",1,,,,,,,,,,,,,,,,,,,,,,,,,
Roto Pumps,ROTO,Anil Kumar Goel,"2,100,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
SG Finserve,SGFIN,Ashish Kacholia,"638,366",1,,,,,,,,,,,,,,,,,,,,,,,,,
SRM Contractors,SRM,Ajay Upadhyaya,"365,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
SSPDL,SSPDL,Nemish S Shah,"314,499",1,,,,,,,,,,,,,,,,,,,,,,,,,
Saboo Sodium Chloro,SABOOSOD,Nemish S Shah,"666,240",1,,,,,,,,,,,,,,,,,,,,,,,,,
Safari Industries,SAFARI,Ashish Kacholia,"900,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Saffron Industries,SAFFRON,Nemish S Shah,"201,841",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sangal Papers,SANPA,Nemish S Shah,"35,597",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sanjivani paranteral,SANJIVIN,Ashish Kacholia,"370,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Satchmo Holdings,NITESHEST,Nemish S Shah,"2,017,752",1,,,,,,,,,,,,,,,,,,,,,,,,,
Savera Industries,SAVERA,Dolly Khanna,"131,585",1,,,,,,,,,,,,,,,,,,,,,,,,,
Seasons Textiles,SEASONST,Nemish S Shah,"224,498",1,,,,,,,,,,,,,,,,,,,,,,,,,
Service Care,SERVICE,Ajay Upadhyaya,"450,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shaily Engineering,SHAILY,Ashish Kacholia,"2,393,680",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shetron,SHETRON,Nemish S Shah,"206,149",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shiva Global Agro,SHIVAAGRO,Nemish S Shah,"300,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shiva Granito Export,SHIVAEXPO,Nemish S Shah,"200,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shivalik Bimetal Controls,SBCL,Mohnish Pabrai,"600,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Hari Chemicals,SHHARICH,Nemish S Shah,"59,966",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shree OSFM E-Mobility,SHREEOSFM,Ashish Kacholia,"559,700",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Rajasthan Syntex,SHRERAJSYN,Anil Kumar Goel,"759,202",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Refrigerations,17160478,Ashish Kacholia,"1,219,513",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shree Steel Wire Ropes,SSWRL,Nemish S Shah,"73,493",1,,,,,,,,,,,,,,,,,,,,,,,,,
Shri Vasuprada,JOONKTOLL,Nemish S Shah,"369,815",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sicagen,SICAGEN,Nemish S Shah,"500,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Simran Farms,SIMRAN,Nemish S Shah,"40,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sirca Paints,SIRCA,Porinju Veliyath,"1,433,421",1,,,,,,,,,,,,,,,,,,,,,,,,,
Skipper,SKIPPER,Ajay Upadhyaya,"1,739,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Skyline Millars,SKYLMILAR,Nemish S Shah,"484,469",1,,,,,,,,,,,,,,,,,,,,,,,,,
Som Distilleries,SDBL,Dolly Khanna,"4,293,853",1,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Petrchem,SPIC,Dolly Khanna,"4,863,915",1,,,,,,,,,,,,,,,,,,,,,,,,,
Spice Islands,SPICEISL,Nemish S Shah,"115,740",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sreechem Resins,SREECHEM,Nemish S Shah,"57,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Stove Kraft,STOVEKRAFT,Ashish Kacholia,"576,916",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sturdy Industries,STURDY,Anil Kumar Goel,"82,682",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sudal Industries,SUDAI,Nemish S Shah,"100,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sunil Industries,SUNILTX,Nemish S Shah,"183,500",1,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshield Chemicals,SUNSHIEL,Mohnish Pabrai,"110,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Super Tex Industries,SUPERTEX,Nemish S Shah,"274,638",1,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Industrial,519234,Sunil Singhania,"149,500",1,,,,,,,,,,,,,,,,,,,,,,,,,
Suryaamba Spinning Mills,SURYAAMBA,Nemish S Shah,"58,946",1,,,,,,,,,,,,,,,,,,,,,,,,,
Suryavanshi Spinning,SURYVANSPG,Nemish S Shah,"216,825",1,,,,,,,,,,,,,,,,,,,,,,,,,
T & I Global,TIGLOB,Nemish S Shah,"67,641",1,,,,,,,,,,,,,,,,,,,,,,,,,
TBI Corn,TBI,Ashish Kacholia,"766,666",1,,,,,,,,,,,,,,,,,,,,,,,,,
TCM,TCMLMTD,Nemish S Shah,"222,192",1,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Industries,TAIIND,Nemish S Shah,"100,922",1,,,,,,,,,,,,,,,,,,,,,,,,,
Tamboli Industries,TAMBOLI,Nemish S Shah,"109,961",1,,,,,,,,,,,,,,,,,,,,,,,,,
Tanfac Industries,TANFACIND,Ashish Kacholia,"164,584",1,,,,,,,,,,,,,,,,,,,,,,,,,
Tarapur Transformers,TARAPUR,Mohnish Pabrai,"200,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
TechEra Engineering,TECHERA,Ashish Kacholia,"798,400",1,,,,,,,,,,,,,,,,,,,,,,,,,
Teesta Agro,TEEAI,Nemish S Shah,"78,840",1,,,,,,,,,,,,,,,,,,,,,,,,,
Terai Tea Company,TERAI,Nemish S Shah,"100,640",1,,,,,,,,,,,,,,,,,,,,,,,,,
Texel Industries,TEXEL,Ashish Kacholia,"1,045,750",1,,,,,,,,,,,,,,,,,,,,,,,,,
The Peria Karamalai Tea,PKTEA,Nemish S Shah,"115,373",1,,,,,,,,,,,,,,,,,,,,,,,,,
Thirumalai Chemicals,TIRUMALCHM,Ajay Upadhyaya,"1,300,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Scott,THOMASCOTT,Ashish Kacholia,"307,539",1,,,,,,,,,,,,,,,,,,,,,,,,,
Thrive Future Habitats,ADORMUL,Nemish S Shah,"109,928",1,,,,,,,,,,,,,,,,,,,,,,,,,
Time Technoplast,TIMETECHNO,Ajay Upadhyaya,"5,100,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Timescan Logistics,TIMESCAN,Mohnish Pabrai,"80,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Transglobe Foods,TRANSFD,Sunil Singhania,"6,820",1,,,,,,,,,,,,,,,,,,,,,,,,,
Triveni Glass,TRIVENSHET,Nemish S Shah,"522,500",1,,,,,,,,,,,,,,,,,,,,,,,,,
Tyche Industries,TYCHE,Mohnish Pabrai,"150,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Tyroon Tea Company,TYROON,Nemish S Shah,"88,443",1,,,,,,,,,,,,,,,,,,,,,,,,,
Unick Fix-A-Form,541503,Nemish S Shah,"57,185",1,,,,,,,,,,,,,,,,,,,,,,,,,
Unique Organics,UNIQUEO,Nemish S Shah,"115,019",1,,,,,,,,,,,,,,,,,,,,,,,,,
Uniroyal Industries,UNIROYAL,Nemish S Shah,"502,762",1,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Autofoundry,UNIAUTO,Nemish S Shah,"127,069",1,,,,,,,,,,,,,,,,,,,,,,,,,
Universal Starch-chem,UNIVSTAR,Mohnish Pabrai,"75,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
V-Marc,VMARCIND,Ashish Kacholia,"661,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Vascon Engineers,VASCONEQ,Ajay Upadhyaya,"3,250,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Veejay Lakshmi,VJLAXMIE,Nemish S Shah,"97,291",1,,,,,,,,,,,,,,,,,,,,,,,,,
Veto Switchgears,VETO,Nemish S Shah,"206,139",1,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Crane,VIRATCRA,Nemish S Shah,"284,315",1,,,,,,,,,,,,,,,,,,,,,,,,,
Vistar Amar,SHUBHRA,Nemish S Shah,"57,722",1,,,,,,,,,,,,,,,,,,,,,,,,,
Voltaire Leasing,VOLLF,Vijay Kedia,"235,380",1,,,,,,,,,,,,,,,,,,,,,,,,,
WEP Solutions,WEPSOLN,Nemish S Shah,"414,384",1,,,,,,,,,,,,,,,,,,,,,,,,,
WPIL,WPIL,Porinju Veliyath,"1,500,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Walchandnagar Ind,WALCHANNAG,Ashish Kacholia,"1,400,385",1,,,,,,,,,,,,,,,,,,,,,,,,,
Xpro,XPROINDIA,Ashish Kacholia,"918,550",1,,,,,,,,,,,,,,,,,,,,,,,,,
Yasho Industries,YASHO,Ashish Kacholia,"459,140",1,,,,,,,,,,,,,,,,,,,,,,,,,
Z-Tech,ZTECH,Ashish Kacholia,"500,000",1,,,,,,,,,,,,,,,,,,,,,,,,,
Zaggle Prepaid Ocean,ZAGGLE,Ashish Kacholia,"3,003,356",1,,,,,,,,,,,,,,,,,,,,,,,,,
Zenith Fibres,ZENIFIB,Nemish S Shah,"46,715",1,,,,,,,,,,,,,,,,,,,,,,,,,
