Rank,Stock,Code,Score,Tags,Investor,InvCount,Price,MCap_Cr,PE,PB,ROE,ROCE,DE,DivYld,EPS_Gr,Rev_Gr,Promoter,Pledge,Sector
219,Vikran Engineering,VIKRAN,0,No Data,"Porinju Veliyath, Radhakishan Damani, Ashish Kacholia",3,,,,,,,,,,,,,
220,Bella Casa Fashion,BELLACASA,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
221,Jagsonpal Pharma,JAGSNPHARM,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
222,Karur Vysya Bank,KARURVYSYA,0,No Data,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,,,,,,,,,,,,,
223,Kingfa Science,KINGFA,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
224,Laxmi Finance,LAXMIINDIA,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
225,N R Agarwal Industries,NRAIL,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
226,Oriental Rail,ORVENPR,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
227,Osel Devices,OSELDEVICE,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
228,Prakash Pipes,PPL,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
229,Siyaram Recycling,13521185,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
230,Solarium Green Energy,15131301,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
231,Star Health,STARHEALTH,0,No Data,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,,,,,,,,,,,,,
232,Suryoday Small Finance Bank,SURYODAY,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
233,TAAL Tech,TAALENT,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
234,Tracxn Technologies,TRACXN,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
235,Unified Data Tech Solutions,13193245,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
236,Zelio EMobility,17270031,0,No Data,"Porinju Veliyath, Radhakishan Damani",2,,,,,,,,,,,,,
237,A G Universal,AGUL,0,No Data,Anil Kumar Goel,1,,,,,,,,,,,,,
238,Adcounty Media,544435,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
239,Aditya Spinners,ADITYASPIN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
240,Aelea Commodities,11290656,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
241,Akar Auto Industries,AKARTOOL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
242,Aryan Shares & Stock,542176,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
243,Ascensive Educare,17180088,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
244,BEW Engineering,BEWLTD,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
245,Benara Bearings & Pistons,541178,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
246,Bharat Parenterals,541096,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
247,Bombay Wire Ropes,504648,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
248,C2C Advanced Systems,C2C,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
249,Citadel Realty,CITADEL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
250,Cosmic CRF,13510368,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
251,Cosyn,COSYN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
252,Cravatex,CRAVATEX,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
253,Decorous Investment,DITCO,0,No Data,Anil Kumar Goel,1,,,,,,,,,,,,,
254,Delton Cables,DLTNCBL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
255,Dhabriya Polywood,DHABRIYA,0,No Data,Ashish Kacholia,1,,,,,,,,,,,,,
256,Diana Tea Company,DIANATEA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
257,Duke Offshore,DUKEOFS,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
258,Dynavision,DYNAVSN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
259,Elegant Marbles & Grani,ELEMARB,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
260,Elixir Capital,ELIXIR,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
261,Envair Electrodyne,KIRLOSELEC,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
262,Filtra Consultants,FILTRA,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
263,Forcas Studio,FORCAS,0,No Data,Ajay Upadhyaya,1,,,,,,,,,,,,,
264,Glaam Up Jwel,542477,0,No Data,Anil Kumar Goel,1,,,,,,,,,,,,,
265,Harish Textile,13510162,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
266,Haryana Capfin,HARYNACAP,0,No Data,Mohnish Pabrai,1,,,,,,,,,,,,,
267,Hasti Finance,HASTIFIN,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
268,Hindusthan Urban,HUIL,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
269,Hisar Spinning Mills,HISARSP,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
270,India Lease Development,INDIALEASE,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
271,Indian Sucrose,OSWALSUG,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
272,Indus Aluminium Recyclers,CONTAINERWAY,0,No Data,Nemish S Shah,1,,,,,,,,,,,,,
